latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,delta_ros
-17.01054,45.74163,2026-06-13T11:21:00,5.433553227833421,226.97511476837562,h,367.0,madagascar,28.4,34,2.388888888888889,78,1.6666666666666667,0.9548412538721887,270.0,12.0,381.0,11.1,AF_MIOMBO,2.9254294520048814,3.5414337249597416,0.007150495204624259,3.5484282761207893,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3865132606682572,0.4173969279093913,1067.948454745869,0.041241278695438734,0.17280058193919054,0.22,-0.034,38.4,20.776374867727533,2.5534500529089867,1.3,0.75,0.55,0.5,1500.0,25,19500,2.50812377582854
-16.21016,47.42394,2026-06-13T11:21:00,3.0090224153057243,51.43331532583868,h,367.0,madagascar,29.9,40,0.3611111111111111,106,0.0,0.0,0.0,74.0,82.0,14.9,AF_MIOMBO,0.77577043968824,0.1780396519172195,0.0,0.1780396519172195,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.39104270742995834,0.4173969279093913,1080.4634604707674,0.041241278695438734,0.17280058193919054,0.22,-0.034,39.9,20.681817405204484,2.531273037918206,1.3,0.75,0.55,0.5,1500.0,25,19500,2.2332519756174842
-4.81101,31.02151,2026-06-13T11:25:00,0.9648042281257178,197.83871349396208,h,367.0,east_africa,24.3,43,4.666666666666667,119,1.6666666666666667,0.9548412538721887,0.0,61.0,1097.0,11.1,AF_MIOMBO,4.830657476242681,9.093796063535667,0.007150495204624259,9.09726484206138,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.8658532481169634
-4.81448,31.04327,2026-06-13T11:25:00,0.9236957560013551,196.69006009477883,h,367.0,east_africa,24.3,43,4.666666666666667,119,0.0,0.0,0.0,61.0,1094.0,11.1,AF_MIOMBO,4.828997969318701,9.093796063535667,0.0,9.093796063535667,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.905302213317346
-4.81553,31.03635,2026-06-13T11:25:00,0.5740566910586695,193.19170716058005,h,367.0,east_africa,24.3,43,4.666666666666667,119,0.0,0.0,0.0,61.0,1094.0,11.1,AF_MIOMBO,4.828997969318701,9.093796063535667,0.0,9.093796063535667,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.2549412782600315
-4.815,31.03981,2026-06-13T11:25:00,0.53495762155414,165.31335040821816,h,367.0,east_africa,24.3,43,4.666666666666667,119,1.6666666666666667,0.9548412538721887,0.0,61.0,1094.0,11.1,AF_MIOMBO,4.830657476242681,9.093796063535667,0.007150495204624259,9.09726484206138,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.295699854688541
-15.30595,32.68718,2026-06-10T12:17:00,6.17106796274947,341.51632117026753,h,367.0,central_savanna,26.5,34,4.944444444444445,136,1.6666666666666667,0.9548412538721887,0.0,44.0,444.0,9.4,AF_MIOMBO,6.30453385694706,9.784886460147835,0.007150495204624259,9.790031356028244,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.353817951400561,0.4173969279093913,977.6102734645712,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,36.5,21.637564107983586,2.2849743568065644,1.3,0.75,0.55,0.5,1500.0,25,19500,-0.13346589419758992
-4.81395,31.04673,2026-06-13T11:25:00,0.7605217365587744,195.95487226813066,h,367.0,east_africa,24.3,43,4.666666666666667,119,1.6666666666666667,0.9548412538721887,0.0,61.0,1094.0,11.1,AF_MIOMBO,4.830657476242681,9.093796063535667,0.007150495204624259,9.09726484206138,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.070135739683907
-1.51874,35.04477,2026-06-13T11:25:00,0.22501369261660023,144.33335600962798,h,367.0,east_africa,27.1,37,3.0,64,8.333333333333332,4.7636416907261765,90.0,154.0,1521.0,11.1,AF_MIOMBO,3.4067287207219477,4.956275277967126,0.1787623801156064,4.796244941768371,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.35397523951395604,0.4173969279093913,978.0448655335722,0.041241278695438734,0.17280058193919054,0.22,-0.034,37.1,21.641560857997085,2.2593756568011654,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.1817150281053475
-4.8138,31.02547,2026-06-13T11:25:00,0.6357545493493966,197.42140897039437,h,367.0,east_africa,24.3,43,4.666666666666667,119,0.0,0.0,0.0,61.0,1096.0,11.1,AF_MIOMBO,4.828997969318701,9.093796063535667,0.0,9.093796063535667,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.28904576775486623,0.4173969279093913,798.6426662074774,0.041241278695438734,0.17280058193919054,0.22,-0.034,34.3,23.2407478058093,1.7317008776762806,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.1932434199693045
